"","Rk","Name","Team","Age","Pos","GP","G","A","P","PIM","+/-","TOI","ES","PP","SH","ESG","PPG","SHG","GWG","OTG","ESA","PPA","SHA","GWA","OTA","ESP","PPP","SHP","GWP","OTP","PPP%","G/60","A/60","P/60","ESG/60","ESA/60","ESP/60","PPG/60","PPA/60","PPP/60","G/GP","A/GP","P/GP","SHOTS","SH%","HITS","BS","FOW","FOL","FO%"
"59","59","Jared McCann","SEA",26,"F","79",40,30,70,14,18,"16:20","12:41","2:39","0:59","30","7","3",3,"0","21","9","0","9","3",51,"16",3,"12","3","22.9%",1.859,1.394,3.254,"1.795","1.257","3.052","1.997","2.568","4.566",0.506,0.38,"0.886",210,"19.1%",65,"28",26,52,"33.33%"
"60","60","Bo Horvat","NYI",27,"F","79",38,32,70,18,-1,"20:39","15:41","3:30","1:27","22","12","4",5,"1","21","10","1","5","0",43,"22",5,"10","1","31.4%",1.397,1.177,2.574,"1.065","1.017","2.082","2.594","2.162","4.755",0.481,0.405,"0.886",229,"16.6%",57,"55",958,727,"56.85%"
"61","61","Mark Scheifele","WPG",29,"F","81",42,26,68,43,-16,"20:28","16:43","3:38","0:06","30","12","0",10,"2","16","10","0","7","1",46,"22",0,"17","3","32.4%",1.519,0.94,2.46,"1.329","0.709","2.038","2.437","2.031","4.468",0.519,0.321,"0.84",206,"20.4%",50,"38",579,628,"47.97%"
"62","62","Dylan Cozens","BUF",21,"F","81",31,37,68,41,-3,"16:29","12:26","2:48","1:15","24","5","2",1,"1","23","13","1","6","1",47,"18",3,"7","2","26.5%",1.392,1.661,3.053,"1.429","1.369","2.798","1.321","3.435","4.757",0.383,0.457,"0.84",211,"14.7%",55,"30",567,607,"48.30%"
"63","63","Adrian Kempe","LAK",26,"F","82",41,26,67,55,22,"18:45","14:22","2:53","1:28","27","11","3",6,"1","17","9","0","1","0",44,"20",3,"7","1","29.9%",1.599,1.014,2.614,"1.374","0.865","2.238","2.776","2.272","5.048",0.5,0.317,"0.817",250,"16.4%",119,"32",16,35,"31.37%"
"64","64","Sebastian Aho","CAR",25,"F","75",36,31,67,42,8,"19:29","14:30","3:11","1:47","26","7","3",9,"2","22","8","1","3","1",48,"15",4,"12","3","22.4%",1.477,1.272,2.749,"1.433","1.213","2.646","1.751","2.002","3.753",0.48,0.413,"0.893",218,"16.5%",59,"21",531,503,"51.35%"
"65","65","Sam Reinhart","FLA",27,"F","82",31,36,67,12,-12,"19:46","14:21","4:00","1:24","15","16","0",5,"1","22","11","3","8","1",37,"27",3,"13","2","40.3%",1.147,1.332,2.478,"0.764","1.121","1.885","2.921","2.008","4.93",0.378,0.439,"0.817",227,"13.7%",58,"49",236,230,"50.64%"
"66","66","Logan Couture","SJS",33,"F","82",27,40,67,19,-30,"19:07","13:46","2:58","2:23","21","5","1",4,"2","25","15","0","4","0",46,"20",1,"8","2","29.9%",1.033,1.53,2.562,"1.116","1.329","2.445","1.232","3.697","4.93",0.329,0.488,"0.817",198,"13.6%",128,"70",640,709,"47.44%"
"67","67","Pavel Buchnevich","STL",27,"F","63",26,41,67,36,14,"19:27","14:48","2:53","1:44","18","8","0",2,"0","26","13","2","8","1",44,"21",2,"10","1","31.3%",1.273,2.007,3.28,"1.157","1.672","2.829","2.628","4.271","6.899",0.413,0.651,"1.063",123,"21.1%",54,"23",64,150,"29.91%"
"68","68","Mats Zuccarello","MIN",35,"F","78",22,45,67,26,-3,"20:11","16:18","3:46","0:06","13","9","0",3,"1","25","20","0","6","2",38,"29",0,"9","3","43.3%",0.838,1.714,2.552,"0.613","1.179","1.792","1.831","4.069","5.901",0.282,0.577,"0.859",198,"11.1%",51,"51",24,36,"40.00%"
"69","69","Brad Marchand","BOS",34,"F","73",21,46,67,74,27,"18:31","13:36","3:24","1:29","12","9","0",4,"0","25","20","1","14","2",37,"29",1,"18","2","43.3%",0.932,2.041,2.972,"0.724","1.509","2.234","2.166","4.813","6.98",0.288,0.63,"0.918",183,"11.5%",81,"22",22,35,"38.60%"
"70","70","Timo Meier","NJD",26,"F","78",40,26,66,43,-19,"19:23","16:20","2:55","0:07","23","17","0",5,"1","20","6","0","4","2",43,"23",0,"9","3","34.8%",1.587,1.032,2.619,"1.082","0.941","2.024","4.475","1.579","6.054",0.513,0.333,"0.846",327,"12.2%",154,"37",21,36,"36.84%"
"71","71","Jack Eichel","VGK",26,"F","67",27,39,66,6,26,"18:46","15:43","2:39","0:23","25","2","0",2,"1","26","12","1","9","4",51,"14",1,"11","5","21.2%",1.288,1.861,3.149,"1.424","1.481","2.905","0.674","4.046","4.72",0.403,0.582,"0.985",223,"12.1%",59,"56",359,434,"45.27%"
"72","72","Alex DeBrincat","OTT",25,"F","82",27,39,66,45,-31,"19:00","14:53","4:04","0:02","16","11","0",6,"2","20","19","0","4","1",36,"30",0,"10","3","45.5%",1.039,1.501,2.541,"0.786","0.983","1.769","1.974","3.41","5.384",0.329,0.476,"0.805",263,"10.3%",109,"38",10,9,"52.63%"
"73","73","Nicholas Suzuki","MTL",23,"F","82",26,40,66,33,-13,"21:05","16:05","3:21","1:39","16","7","3",2,"0","30","10","0","6","1",46,"17",3,"8","1","25.8%",0.902,1.387,2.289,"0.728","1.365","2.092","1.525","2.179","3.705",0.317,0.488,"0.805",162,"16.1%",50,"56",663,738,"47.32%"
"74","74","Cale Makar","COL",24,"D","60",17,49,66,30,16,"26:22","19:37","4:00","2:43","12","5","0",6,"2","24","25","0","6","1",36,"30",0,"12","3","45.5%",0.644,1.857,2.502,"0.611","1.222","1.834","1.245","6.226","7.471",0.283,0.817,"1.1",176,"9.7%",65,"78",0,0,"0.00%"
"75","75","Dylan Strome","WSH",25,"F","81",23,42,65,24,-4,"16:41","13:39","3:00","0:01","20","3","0",2,"0","24","18","0","5","1",44,"21",0,"7","1","32.3%",1.021,1.864,2.885,"1.084","1.301","2.386","0.739","4.436","5.175",0.284,0.519,"0.802",154,"14.9%",20,"43",528,554,"48.80%"
